environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
-70.01,0.0192114
-60.01,0.0235513
-50.01,0.0323149
-40.01,0.0495495
-35.01,0.069192
-30.01,0.0959587
-25.01,0.131572
-20.01,0.177853
-15.01,0.236154
-10.01,0.306708
-7.51,0.346181
-5.01,0.387978
-2.51,0.431584
0.01,0.476737
2.51,0.522023
5.01,0.567071
7.51,0.611173
10.01,0.653684
12.51,0.694052
15.01,0.73185
17.51,0.766776
20.01,0.798662
22.51,0.827453
25.01,0.853194
27.51,0.876005
30.01,0.896063
32.51,0.913579
35.01,0.928785
37.51,0.941916
40.01,0.953204
42.51,0.96287
45.01,0.971117
47.51,0.978134
50.01,0.984088
52.51,0.989128
55.01,0.993386
57.51,0.996977
60.01,1
