Concentrations | C_ext_Na (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
101,119.817
102,120.873
103,121.928
104,122.983
105,124.039
106,125.094
107,126.15
108,127.205
109,128.26
110,129.316
111,130.371
112,131.426
113,132.482
114,133.537
115,134.593
116,135.648
117,136.703
118,137.759
119,138.814
120,139.87
121,140.925
122,141.98
123,143.036
124,144.091
125,145.146
126,146.202
127,147.257
128,148.313
129,149.368
130,150.423
131,151.479
132,152.534
133,153.59
134,154.645
135,155.7
136,156.756
137,157.811
138,158.866
139,159.922
140,160.977
141,162.033
142,163.088
143,164.143
144,165.199
145,166.254
146,167.31
147,168.365
148,169.42
149,170.476
150,171.531
151,172.586
152,173.642
153,174.697
154,175.753
155,176.808
156,177.863
157,178.919
158,179.974
159,181.03
160,182.085
161,183.14
162,184.196
163,185.251
164,186.306
165,187.362
166,188.417
167,189.473
168,190.528
169,191.583
170,192.639
171,193.694
172,194.75
173,195.805
174,196.86
175,197.916
176,198.971
177,200.026
178,201.082
179,202.137
180,203.193
181,204.248
182,205.303
183,206.359
184,207.414
185,208.47
186,209.525
187,210.58
188,211.636
189,212.691
190,213.746
191,214.802
192,215.857
193,216.913
194,217.968
195,219.023
196,220.079
197,221.134
198,222.19
199,223.245
200,224.3
201,225.356
